fips,Week_end,PRCP_mean,SNOW_mean,TMAXDELTA,TMINDELTA,COVID19-related_value,COVID19_value,influenza_value,s01_value,s02_value,s03_value,s04_value,s05_value,s06_value,scontrol_value,total_admissions
5,2022-03-26,65.14285714285714,0.0,155.66666666666666,107.55555555555554,0.5962703714285714,0.4840002285714282,0.2732786714285714,1.5743197190476188,2.348503395238096,0.8362040809523811,0.6249064571428572,0.0529024999999999,0.7389342333333332,4.133414952380953,83.0
5,2022-04-02,193.28571428571428,0.0,148.33333333333334,118.11111111111109,0.5922396238095238,0.4870364999999997,0.1897145238095238,1.496870742857143,2.219387738095238,0.7962993095238096,0.6211904666666667,0.0480498952380952,0.7065759571428573,4.22605440952381,62.0
5,2022-04-09,160.0,0.0,155.66666666666666,135.99999999999997,0.5443084095238095,0.4453158761904758,0.1441927476190475,1.411853738095238,2.085181385714286,0.7722448904761904,0.6197108809523809,0.0438095285714285,0.6785034,4.153346938095239,85.0
5,2022-04-16,89.71428571428571,0.0,142.0,150.77777777777774,0.5418463,0.4384941857142854,0.1328636238095237,1.3887414952380954,2.0538321904761903,0.7825578190476191,0.6195323047619047,0.0445804952380952,0.6914059,3.668748304761905,51.0
5,2022-04-23,213.0,0.0,136.88888888888889,158.33333333333331,0.5703163142857143,0.4465275619047615,0.1282058476190475,1.4112755047619048,2.0879818666666665,0.8122857142857143,0.6261649619047619,0.0450340047619047,0.7206349238095239,3.6066530666666665,39.0
5,2022-04-30,133.57142857142856,0.0,116.44444444444446,152.3333333333333,0.6106928190476192,0.4851677476190473,0.0965780142857142,1.424421761904762,2.087641733333333,0.8167755142857143,0.627857138095238,0.0461224333333332,0.7402947857142856,3.5925986476190475,35.0
5,2022-05-07,177.57142857142858,0.0,120.22222222222224,118.0,0.6057445666666667,0.4793688857142853,0.0679588238095237,1.4184183666666663,2.0424716619047625,0.8291972761904761,0.6211139380952381,0.0431292428571428,0.7409070333333333,3.5477959285714284,20.0
5,2022-05-14,525.7142857142858,0.0,89.88888888888887,83.99999999999999,0.6360669,0.5031001476190473,0.0391545476190476,1.4095578285714283,1.9903741428571429,0.8214285666666666,0.614217680952381,0.0445124666666666,0.7421542,3.523047633333334,23.0
5,2022-05-21,3.571428571428572,0.0,98.55555555555554,77.1111111111111,0.7092215904761904,0.5411253761904758,0.0280208523809523,1.4242006857142857,1.9764058857142857,0.8277550952380951,0.6096343523809524,0.047913838095238,0.7500680380952381,3.5386938857142862,17.0
5,2022-05-28,131.85714285714286,0.0,102.7777777777778,81.33333333333331,0.8204269476190476,0.638977133333333,0.0223770095238095,1.467057819047619,2.026383204761905,0.8378095238095238,0.6191326523809524,0.0519047619047618,0.7750113428571428,3.6081768809523815,17.0
5,2022-06-04,164.0,0.0,133.7777777777778,105.4444444444444,0.8327272904761904,0.661264114285714,0.0253027333333333,1.4851360476190478,2.052176861904762,0.8549387809523811,0.6267601952380953,0.0536961428571428,0.782675738095238,3.747455785714288,19.0
5,2022-06-11,53.0,0.0,127.11111111111111,90.66666666666664,0.871548980952381,0.7078360047619044,0.0249484714285714,1.478588438095238,2.0338662095238096,0.9217006904761904,0.6281972666666666,0.0553514619047618,0.7784353666666667,3.880108847619048,22.0
5,2022-06-18,275.42857142857144,0.0,93.7777777777778,85.55555555555554,0.9244823857142856,0.7588679095238092,0.0197593047619047,1.434336738095238,1.9745918428571427,0.9836734761904764,0.6184438619047619,0.0543764095238094,0.7582766428571429,3.957197271428572,13.0
