fips,Week_end,Trend_1w,Trend_2w,Trend_3w,Trend_4w
50,2023-11-11,5.0,3.0,3.0,8.0
50,2023-11-18,3.0,3.0,8.0,8.0
50,2023-11-25,3.0,8.0,8.0,12.0
51,2023-11-04,92.0,100.0,115.0,143.0
51,2023-11-11,100.0,115.0,143.0,157.0
51,2023-11-18,115.0,143.0,157.0,229.0
51,2023-11-25,143.0,157.0,229.0,411.0
53,2023-11-04,17.0,33.0,36.0,74.0
53,2023-11-11,33.0,36.0,74.0,83.0
53,2023-11-18,36.0,74.0,83.0,109.0
53,2023-11-25,74.0,83.0,109.0,176.0
54,2023-11-04,14.0,8.0,13.0,17.0
54,2023-11-11,8.0,13.0,17.0,20.0
54,2023-11-18,13.0,17.0,20.0,33.0
54,2023-11-25,17.0,20.0,33.0,83.0
55,2023-11-04,20.0,15.0,34.0,59.0
55,2023-11-11,15.0,34.0,59.0,99.0
55,2023-11-18,34.0,59.0,99.0,122.0
55,2023-11-25,59.0,99.0,122.0,183.0
56,2023-11-04,5.0,9.0,23.0,24.0
56,2023-11-11,9.0,23.0,24.0,48.0
56,2023-11-18,23.0,24.0,48.0,49.0
56,2023-11-25,24.0,48.0,49.0,30.0
